street_name,segment_id,total_segments,length_m,start_lat,start_lon,end_lat,end_lon
Häringstrasse,1,1,464.6,47.3767377,8.5445086,47.3730044,8.5472568
Apfelbaumstrasse,1,1,495.1,47.4052188,8.5553136,47.4081604,8.5565773
Stelzenstrasse,1,2,500.0,47.4250483,8.5595703,47.4249933,8.5598283
Stelzenstrasse,2,2,21.5,47.4249933,8.5598283,47.4250483,8.5595703
Dreikönigbrücke,1,1,29.3,47.3676276,8.5385393,47.3675755,8.5381597
Süsslerenweg,1,1,128.6,47.3757425,8.4927583,47.3753069,8.492584
Dorflindenstrasse,1,5,500.0,47.4093667,8.5498022,47.4112403,8.5468302
Dorflindenstrasse,2,5,500.0,47.4112403,8.5468302,47.4067659,8.5474954
Dorflindenstrasse,3,5,500.0,47.4067659,8.5474954,47.4040889,8.5490687
Dorflindenstrasse,4,5,500.0,47.4040889,8.5490687,47.4083582,8.5506419
Dorflindenstrasse,5,5,131.0,47.4083582,8.5506419,47.4093667,8.5498022
Unknown,1,1,382.1,47.4335112,8.4849809,47.4363725,8.4824027
Unknown,1,1,85.1,47.406845,8.4477478,47.4068151,8.4466206
Unknown,1,2,500.0,47.314689,8.5499933,47.319102,8.5487697
Unknown,2,2,236.9,47.319102,8.5487697,47.3211927,8.5484684
Unknown,1,1,342.0,47.3983513,8.6227013,47.4009031,8.6203457
Unknown,1,1,104.6,47.4293429,8.4635909,47.4297423,8.4645151
Meinradstrasse,1,1,85.3,47.3886252,8.5390744,47.3882953,8.538055
Lux-Guyer-Weg,1,8,500.0,47.3852264,8.5368147,47.3841991,8.5384508
Lux-Guyer-Weg,2,8,500.0,47.3841991,8.5384508,47.3872903,8.5336502
Lux-Guyer-Weg,3,8,500.0,47.3872903,8.5336502,47.3902044,8.5286432
Lux-Guyer-Weg,4,8,500.0,47.3902044,8.5286432,47.38791,8.5322142
Lux-Guyer-Weg,5,8,500.0,47.38791,8.5322142,47.3849279,8.5371707
Lux-Guyer-Weg,6,8,500.0,47.3849279,8.5371707,47.3821563,8.5415855
Lux-Guyer-Weg,7,8,500.0,47.3821563,8.5415855,47.3852324,8.5368266
Lux-Guyer-Weg,8,8,1.4,47.3852324,8.5368266,47.3852264,8.5368147
Schindlerstrasse,1,1,234.1,47.3884551,8.5363643,47.3894144,8.5390843
Unknown,1,4,500.0,47.3398524,8.4853348,47.3432501,8.4891062
Unknown,2,4,500.0,47.3432501,8.4891062,47.345672,8.4946812
Unknown,3,4,500.0,47.345672,8.4946812,47.345472,8.4947721
Unknown,4,4,331.8,47.345472,8.4947721,47.3440233,8.4917425
Escher-Wyss-Platz,1,1,453.3,47.3908775,8.5222128,47.3911218,8.5226643
Bäulistrasse,1,2,500.0,47.3982539,8.5030704,47.397813,8.5025679
Bäulistrasse,2,2,475.3,47.397813,8.5025679,47.3979711,8.5010921
Unknown,1,1,349.7,47.4111368,8.6237535,47.4127984,8.6247201
Bellariastrasse,1,2,500.0,47.3464608,8.5288748,47.3507792,8.5302622
Bellariastrasse,2,2,499.6,47.3507792,8.5302622,47.3551881,8.5311354
Brüttenweg,1,1,157.7,47.4206974,8.5515775,47.4195984,8.5506382
