segment_id,street_name,start_lat,start_lon,end_lat,end_lon
street_1,Zurich_Street_1,47.377789,8.52575,47.378688,8.525903
street_2,Zurich_Street_2,47.379729,8.545301,47.380684,8.546872
street_3,Zurich_Street_3,47.373438,8.525894,47.373411,8.525066
street_4,Zurich_Street_4,47.365531,8.530965,47.36512,8.529549
street_5,Zurich_Street_5,47.369409,8.542678,47.369479,8.544391
street_6,Zurich_Street_6,47.381116,8.545944,47.381954,8.54651
street_7,Zurich_Street_7,47.384144,8.535098,47.384509,8.535623
street_8,Zurich_Street_8,47.38195,8.543112,47.380253,8.542895
street_9,Zurich_Street_9,47.375725,8.554193,47.375382,8.553182
street_10,Zurich_Street_10,47.381588,8.543556,47.380751,8.541971
street_11,Zurich_Street_11,47.379091,8.526375,47.379908,8.526169
street_12,Zurich_Street_12,47.366596,8.531984,47.367237,8.53187
street_13,Zurich_Street_13,47.377714,8.535945,47.378735,8.536211
street_14,Zurich_Street_14,47.37034,8.5531,47.369407,8.55196
street_15,Zurich_Street_15,47.368423,8.546874,47.368935,8.546332
street_16,Zurich_Street_16,47.38479,8.5442,47.383566,8.543667
street_17,Zurich_Street_17,47.381857,8.54828,47.382026,8.549106
street_18,Zurich_Street_18,47.371309,8.533032,47.371022,8.533797
street_19,Zurich_Street_19,47.382527,8.53444,47.383432,8.533265
street_20,Zurich_Street_20,47.383291,8.538766,47.384188,8.538785
street_21,Zurich_Street_21,47.376227,8.532882,47.375403,8.533985
street_22,Zurich_Street_22,47.372988,8.53158,47.372869,8.529587
street_23,Zurich_Street_23,47.366818,8.526413,47.366341,8.525951
street_24,Zurich_Street_24,47.380842,8.537665,47.381245,8.537227
street_25,Zurich_Street_25,47.384922,8.540873,47.383421,8.542128
street_26,Zurich_Street_26,47.36523,8.546622,47.365,8.54514
street_27,Zurich_Street_27,47.370337,8.544229,47.370602,8.543617
street_28,Zurich_Street_28,47.374074,8.553614,47.375882,8.553462
street_29,Zurich_Street_29,47.375012,8.53036,47.373653,8.531643
street_30,Zurich_Street_30,47.370969,8.544168,47.372127,8.544979
street_31,Zurich_Street_31,47.38025,8.541181,47.379934,8.539544
street_32,Zurich_Street_32,47.365011,8.534725,47.365,8.535202
street_33,Zurich_Street_33,47.382574,8.54995,47.382917,8.550848
street_34,Zurich_Street_34,47.38256,8.553408,47.382615,8.552782
street_35,Zurich_Street_35,47.366384,8.547818,47.367575,8.548959
street_36,Zurich_Street_36,47.374506,8.541494,47.373861,8.542118
street_37,Zurich_Street_37,47.373463,8.531354,47.372164,8.531189
street_38,Zurich_Street_38,47.369023,8.534351,47.367412,8.533179
street_39,Zurich_Street_39,47.373762,8.540527,47.374435,8.540635
street_40,Zurich_Street_40,47.371762,8.542649,47.372592,8.542806
street_41,Zurich_Street_41,47.36642,8.543933,47.365948,8.544632
street_42,Zurich_Street_42,47.382193,8.527126,47.381444,8.526708
street_43,Zurich_Street_43,47.369285,8.528969,47.368463,8.527253
street_44,Zurich_Street_44,47.374453,8.548539,47.376046,8.549164
street_45,Zurich_Street_45,47.366939,8.537932,47.367172,8.53682
street_46,Zurich_Street_46,47.379582,8.545201,47.380727,8.546811
street_47,Zurich_Street_47,47.373052,8.535179,47.374845,8.535194
street_48,Zurich_Street_48,47.368804,8.538458,47.369919,8.538256
street_49,Zurich_Street_49,47.369996,8.552698,47.369105,8.553448
street_50,Zurich_Street_50,47.376007,8.526518,47.374293,8.527546
street_51,Zurich_Street_51,47.38438,8.552791,47.385,8.553681
street_52,Zurich_Street_52,47.374713,8.531412,47.37511,8.53244
street_53,Zurich_Street_53,47.372579,8.554559,47.371702,8.55475
street_54,Zurich_Street_54,47.3741,8.53769,47.374044,8.539625
street_55,Zurich_Street_55,47.376115,8.546552,47.376816,8.54634
street_56,Zurich_Street_56,47.384374,8.542375,47.383061,8.542359
street_57,Zurich_Street_57,47.366143,8.542525,47.365141,8.54328
street_58,Zurich_Street_58,47.368149,8.553823,47.368719,8.554067
street_59,Zurich_Street_59,47.376901,8.545256,47.377484,8.545878
street_60,Zurich_Street_60,47.382806,8.532386,47.381857,8.531368
street_61,Zurich_Street_61,47.373384,8.54251,47.372872,8.543688
street_62,Zurich_Street_62,47.369085,8.546486,47.369608,8.545805
street_63,Zurich_Street_63,47.378434,8.534,47.37746,8.534011
street_64,Zurich_Street_64,47.366451,8.538749,47.366402,8.540746
street_65,Zurich_Street_65,47.366465,8.531395,47.3661,8.532215
street_66,Zurich_Street_66,47.382617,8.551378,47.383499,8.551956
street_67,Zurich_Street_67,47.381675,8.546106,47.381561,8.547519
street_68,Zurich_Street_68,47.37808,8.525235,47.379723,8.525
street_69,Zurich_Street_69,47.378268,8.553168,47.378733,8.553693
street_70,Zurich_Street_70,47.367141,8.541597,47.366585,8.540878
street_71,Zurich_Street_71,47.379352,8.531108,47.380798,8.530981
street_72,Zurich_Street_72,47.374771,8.55216,47.37574,8.55364
street_73,Zurich_Street_73,47.373472,8.5333,47.372971,8.533367
street_74,Zurich_Street_74,47.377742,8.532859,47.377228,8.531331
street_75,Zurich_Street_75,47.373554,8.52529,47.373143,8.525745
street_76,Zurich_Street_76,47.383079,8.541368,47.38221,8.539846
street_77,Zurich_Street_77,47.367962,8.528823,47.367391,8.529598
street_78,Zurich_Street_78,47.380922,8.550821,47.382713,8.55128
street_79,Zurich_Street_79,47.369991,8.528084,47.368879,8.529331
street_80,Zurich_Street_80,47.373128,8.54362,47.372815,8.544282
street_81,Zurich_Street_81,47.382292,8.554286,47.381129,8.555
street_82,Zurich_Street_82,47.365496,8.547097,47.365075,8.548002
street_83,Zurich_Street_83,47.381045,8.550922,47.382751,8.550741
street_84,Zurich_Street_84,47.380747,8.528243,47.379344,8.529383
street_85,Zurich_Street_85,47.369449,8.549498,47.370568,8.549093
street_86,Zurich_Street_86,47.380907,8.531828,47.381409,8.532015
street_87,Zurich_Street_87,47.371565,8.550931,47.373483,8.550576
street_88,Zurich_Street_88,47.37783,8.53699,47.377385,8.535069
street_89,Zurich_Street_89,47.383785,8.52846,47.385,8.529309
street_90,Zurich_Street_90,47.384251,8.532964,47.384516,8.532357
street_91,Zurich_Street_91,47.379571,8.53441,47.37947,8.533005
street_92,Zurich_Street_92,47.372704,8.542298,47.371851,8.542072
street_93,Zurich_Street_93,47.365034,8.552767,47.365,8.552518
street_94,Zurich_Street_94,47.379839,8.545119,47.380284,8.546066
street_95,Zurich_Street_95,47.378285,8.534906,47.377492,8.535467
street_96,Zurich_Street_96,47.379395,8.53401,47.37992,8.533201
street_97,Zurich_Street_97,47.373048,8.53387,47.373379,8.533263
street_98,Zurich_Street_98,47.383807,8.54532,47.382577,8.543933
street_99,Zurich_Street_99,47.371019,8.541438,47.371506,8.541323
street_100,Zurich_Street_100,47.373598,8.5424,47.373921,8.540953
street_101,Zurich_Street_101,47.373843,8.531411,47.373139,8.532395
street_102,Zurich_Street_102,47.38092,8.530091,47.38086,8.529467
street_103,Zurich_Street_103,47.377659,8.535056,47.375931,8.535068
street_104,Zurich_Street_104,47.378456,8.531739,47.378578,8.532529
street_105,Zurich_Street_105,47.369897,8.539254,47.370681,8.540846
street_106,Zurich_Street_106,47.373289,8.543893,47.372542,8.543631
street_107,Zurich_Street_107,47.374888,8.53232,47.374939,8.533803
street_108,Zurich_Street_108,47.380019,8.548101,47.380318,8.547513
street_109,Zurich_Street_109,47.368518,8.553739,47.368914,8.554953
street_110,Zurich_Street_110,47.369984,8.55045,47.368861,8.550826
street_111,Zurich_Street_111,47.378352,8.554637,47.377921,8.555
street_112,Zurich_Street_112,47.382829,8.54338,47.382781,8.541801
street_113,Zurich_Street_113,47.381611,8.541436,47.379767,8.541363
street_114,Zurich_Street_114,47.374493,8.532776,47.373831,8.532211
street_115,Zurich_Street_115,47.380316,8.540639,47.381739,8.540417
street_116,Zurich_Street_116,47.36655,8.533572,47.367372,8.533187
street_117,Zurich_Street_117,47.375803,8.529151,47.375008,8.528859
street_118,Zurich_Street_118,47.379128,8.526927,47.378834,8.525855
street_119,Zurich_Street_119,47.373315,8.531205,47.372679,8.532139
street_120,Zurich_Street_120,47.376682,8.545866,47.374905,8.54604
street_121,Zurich_Street_121,47.372608,8.525177,47.37158,8.525199
street_122,Zurich_Street_122,47.382069,8.553603,47.380941,8.553585
street_123,Zurich_Street_123,47.375923,8.543098,47.376738,8.543256
street_124,Zurich_Street_124,47.373717,8.525871,47.37281,8.525438
street_125,Zurich_Street_125,47.373086,8.529951,47.37395,8.530786
street_126,Zurich_Street_126,47.377445,8.525809,47.377016,8.525
street_127,Zurich_Street_127,47.365542,8.544282,47.36571,8.543599
street_128,Zurich_Street_128,47.366006,8.536373,47.36673,8.535994
street_129,Zurich_Street_129,47.380225,8.536374,47.378808,8.537175
street_130,Zurich_Street_130,47.370045,8.527457,47.369916,8.526944
street_131,Zurich_Street_131,47.384998,8.535499,47.383551,8.535786
street_132,Zurich_Street_132,47.378035,8.547627,47.379863,8.548229
street_133,Zurich_Street_133,47.365408,8.529571,47.365,8.529237
street_134,Zurich_Street_134,47.376279,8.531539,47.374739,8.531703
street_135,Zurich_Street_135,47.368356,8.543217,47.369425,8.544437
street_136,Zurich_Street_136,47.381386,8.553942,47.381492,8.554595
street_137,Zurich_Street_137,47.371239,8.54532,47.372411,8.543777
street_138,Zurich_Street_138,47.3793,8.52728,47.378199,8.526209
street_139,Zurich_Street_139,47.367038,8.548174,47.365991,8.546741
street_140,Zurich_Street_140,47.367421,8.554515,47.368792,8.553555
street_141,Zurich_Street_141,47.373568,8.536117,47.374625,8.535434
street_142,Zurich_Street_142,47.381992,8.54967,47.381831,8.550308
street_143,Zurich_Street_143,47.377712,8.549861,47.378327,8.548427
street_144,Zurich_Street_144,47.379676,8.553964,47.378831,8.554288
street_145,Zurich_Street_145,47.375763,8.539505,47.374618,8.539368
street_146,Zurich_Street_146,47.370368,8.550551,47.371272,8.552045
street_147,Zurich_Street_147,47.382633,8.532316,47.381868,8.531395
street_148,Zurich_Street_148,47.37258,8.525861,47.374196,8.526599
street_149,Zurich_Street_149,47.369242,8.548935,47.368552,8.549673
street_150,Zurich_Street_150,47.379024,8.533288,47.378859,8.533776
street_151,Zurich_Street_151,47.366712,8.546602,47.365481,8.546665
street_152,Zurich_Street_152,47.378812,8.544377,47.377621,8.544707
street_153,Zurich_Street_153,47.366861,8.531648,47.368304,8.531116
street_154,Zurich_Street_154,47.376631,8.539198,47.377216,8.538041
street_155,Zurich_Street_155,47.379919,8.534924,47.38146,8.53472
street_156,Zurich_Street_156,47.370028,8.52862,47.370566,8.529196
street_157,Zurich_Street_157,47.375717,8.547866,47.376478,8.548029
street_158,Zurich_Street_158,47.374684,8.546738,47.374381,8.544796
street_159,Zurich_Street_159,47.37066,8.528016,47.371443,8.528127
street_160,Zurich_Street_160,47.368589,8.525424,47.369875,8.525226
street_161,Zurich_Street_161,47.384486,8.541601,47.385,8.542685
street_162,Zurich_Street_162,47.382369,8.539726,47.381557,8.53811
street_163,Zurich_Street_163,47.374388,8.538214,47.374634,8.53895
street_164,Zurich_Street_164,47.383821,8.539332,47.384834,8.537925
street_165,Zurich_Street_165,47.366482,8.543883,47.366949,8.544227
street_166,Zurich_Street_166,47.376257,8.534115,47.377605,8.53558
street_167,Zurich_Street_167,47.380289,8.54319,47.381955,8.543446
street_168,Zurich_Street_168,47.375451,8.538515,47.374555,8.539258
street_169,Zurich_Street_169,47.384801,8.534161,47.383891,8.533056
street_170,Zurich_Street_170,47.379802,8.553428,47.380589,8.553624
street_171,Zurich_Street_171,47.378209,8.529712,47.378554,8.530389
street_172,Zurich_Street_172,47.365054,8.538515,47.366398,8.538159
street_173,Zurich_Street_173,47.36963,8.546209,47.370072,8.544719
street_174,Zurich_Street_174,47.378748,8.552717,47.377558,8.551529
street_175,Zurich_Street_175,47.378224,8.55301,47.377909,8.551917
street_176,Zurich_Street_176,47.377953,8.552252,47.378707,8.55382
street_177,Zurich_Street_177,47.368318,8.534228,47.367635,8.532756
street_178,Zurich_Street_178,47.370772,8.528731,47.369315,8.528254
street_179,Zurich_Street_179,47.383854,8.540014,47.384454,8.5411
street_180,Zurich_Street_180,47.365797,8.537961,47.366781,8.537959
street_181,Zurich_Street_181,47.366827,8.553857,47.366028,8.552296
street_182,Zurich_Street_182,47.384016,8.554987,47.385,8.554803
street_183,Zurich_Street_183,47.365805,8.547688,47.365,8.546989
street_184,Zurich_Street_184,47.383321,8.530445,47.382289,8.529532
street_185,Zurich_Street_185,47.374835,8.527737,47.37572,8.527226
street_186,Zurich_Street_186,47.378403,8.550732,47.37747,8.550387
street_187,Zurich_Street_187,47.370764,8.553356,47.370232,8.55172
street_188,Zurich_Street_188,47.374097,8.534436,47.373913,8.535403
street_189,Zurich_Street_189,47.373084,8.540438,47.371426,8.539351
street_190,Zurich_Street_190,47.375852,8.537397,47.376448,8.536893
street_191,Zurich_Street_191,47.380129,8.543762,47.3817,8.544234
street_192,Zurich_Street_192,47.375984,8.55283,47.374888,8.552461
street_193,Zurich_Street_193,47.367429,8.554194,47.368839,8.554289
street_194,Zurich_Street_194,47.368168,8.541525,47.368902,8.542632
street_195,Zurich_Street_195,47.384845,8.552388,47.385,8.55327
street_196,Zurich_Street_196,47.381643,8.539951,47.381555,8.538379
street_197,Zurich_Street_197,47.370468,8.550042,47.372437,8.550119
street_198,Zurich_Street_198,47.376025,8.536508,47.375928,8.534627
street_199,Zurich_Street_199,47.382587,8.550921,47.381701,8.551148
street_200,Zurich_Street_200,47.373299,8.553027,47.372159,8.553569
street_201,Zurich_Street_201,47.370657,8.533957,47.370647,8.535337
street_202,Zurich_Street_202,47.374793,8.529458,47.375874,8.528722
street_203,Zurich_Street_203,47.376038,8.541303,47.377103,8.540787
street_204,Zurich_Street_204,47.368773,8.545925,47.370124,8.546065
street_205,Zurich_Street_205,47.380511,8.526309,47.378957,8.52586
street_206,Zurich_Street_206,47.381228,8.536582,47.379878,8.537225
street_207,Zurich_Street_207,47.384616,8.53986,47.384608,8.539304
street_208,Zurich_Street_208,47.376804,8.551091,47.377467,8.549406
street_209,Zurich_Street_209,47.375519,8.538708,47.376368,8.537371
street_210,Zurich_Street_210,47.378096,8.529631,47.377864,8.530813
street_211,Zurich_Street_211,47.371771,8.545781,47.370588,8.546661
street_212,Zurich_Street_212,47.382047,8.55078,47.383024,8.550345
street_213,Zurich_Street_213,47.379374,8.547782,47.379779,8.549545
street_214,Zurich_Street_214,47.366368,8.543935,47.366338,8.545816
street_215,Zurich_Street_215,47.379935,8.538019,47.379453,8.537587
street_216,Zurich_Street_216,47.382452,8.53831,47.381573,8.539576
street_217,Zurich_Street_217,47.36592,8.548884,47.366585,8.54822
street_218,Zurich_Street_218,47.367911,8.540935,47.36661,8.541291
street_219,Zurich_Street_219,47.3684,8.527369,47.367166,8.52605
street_220,Zurich_Street_220,47.369817,8.552385,47.369989,8.551691
street_221,Zurich_Street_221,47.37008,8.53266,47.369595,8.532833
street_222,Zurich_Street_222,47.383024,8.545328,47.383288,8.54464
street_223,Zurich_Street_223,47.371911,8.542627,47.372579,8.541331
street_224,Zurich_Street_224,47.370002,8.550359,47.370531,8.549761
street_225,Zurich_Street_225,47.374664,8.532116,47.374049,8.530906
street_226,Zurich_Street_226,47.384854,8.533857,47.383205,8.532785
street_227,Zurich_Street_227,47.37049,8.541978,47.368962,8.541927
street_228,Zurich_Street_228,47.365981,8.543192,47.365276,8.544218
street_229,Zurich_Street_229,47.370724,8.548966,47.371853,8.54812
street_230,Zurich_Street_230,47.377732,8.543627,47.376241,8.543351
street_231,Zurich_Street_231,47.378184,8.55015,47.377361,8.551335
street_232,Zurich_Street_232,47.377927,8.534268,47.37737,8.533249
street_233,Zurich_Street_233,47.379647,8.527704,47.378705,8.527689
